pattern,timestamp,minute_1_time,minute_2_time,minute_3_time,first_open,last_next_open,total_change,change_1,change_2,change_3,volume
PNP,2025-08-20 12:39:00,12:39:00,12:40:00,12:41:00,637.3600,637.5150,0.1550,0.1200,-0.0500,0.0850,185638.0
NOP,2025-08-20 12:42:00,12:42:00,12:43:00,12:44:00,637.5150,637.6300,0.1150,-0.0550,0.0000,0.1700,188735.0
PPO,2025-08-20 12:45:00,12:45:00,12:46:00,12:47:00,637.6300,637.8499,0.2199,0.1800,0.0400,-0.0001,298035.0
NPN,2025-08-20 12:48:00,12:48:00,12:49:00,12:50:00,637.8499,637.5500,-0.2999,-0.2499,0.0300,-0.0800,314631.0
NPP,2025-08-20 12:51:00,12:51:00,12:52:00,12:53:00,637.5500,637.6442,0.0942,-0.1200,0.0700,0.1442,202286.0
NNP,2025-08-20 12:54:00,12:54:00,12:55:00,12:56:00,637.6442,637.1900,-0.4542,-0.1642,-0.3400,0.0500,353070.0
NPP,2025-08-20 12:57:00,12:57:00,12:58:00,12:59:00,637.1900,637.1800,-0.0100,-0.0690,0.0390,0.0200,207431.0
NNN,2025-08-20 13:00:00,13:00:00,13:01:00,13:02:00,637.1800,636.1100,-1.0700,-0.1600,-0.2000,-0.7100,968392.0
NPN,2025-08-20 13:03:00,13:03:00,13:04:00,13:05:00,636.1100,635.9100,-0.2000,-0.1100,0.1700,-0.2600,730266.0
PNP,2025-08-20 13:06:00,13:06:00,13:07:00,13:08:00,635.9100,636.2100,0.3000,0.2000,-0.0700,0.1700,464466.0
PPN,2025-08-20 13:09:00,13:09:00,13:10:00,13:11:00,636.2100,635.9300,-0.2800,0.1700,0.0800,-0.5300,320819.0
PPN,2025-08-20 13:12:00,13:12:00,13:13:00,13:14:00,635.9300,636.0000,0.0700,0.0900,0.0500,-0.0700,368109.0
NPP,2025-08-20 13:15:00,13:15:00,13:16:00,13:17:00,636.0000,635.9800,-0.0200,-0.2100,0.1400,0.0500,434420.0
NNP,2025-08-20 13:18:00,13:18:00,13:19:00,13:20:00,635.9800,635.6800,-0.3000,-0.1000,-0.3200,0.1200,567664.0
NNP,2025-08-20 13:21:00,13:21:00,13:22:00,13:23:00,635.6800,635.9100,0.2300,-0.1600,-0.1550,0.5450,482605.0
NPP,2025-08-20 13:24:00,13:24:00,13:25:00,13:26:00,635.9100,636.0500,0.1400,-0.0476,0.1676,0.0200,362579.0
NNP,2025-08-20 13:27:00,13:27:00,13:28:00,13:29:00,636.0500,635.8316,-0.2184,-0.2300,-0.0300,0.0416,371229.0
NPN,2025-08-20 13:30:00,13:30:00,13:31:00,13:32:00,635.8316,635.8200,-0.0116,-0.0516,0.0800,-0.0400,289156.0
PPN,2025-08-20 13:33:00,13:33:00,13:34:00,13:35:00,635.8200,636.0500,0.2300,0.4200,0.0100,-0.2000,507431.0
PNN,2025-08-20 13:36:00,13:36:00,13:37:00,13:38:00,636.0500,636.4200,0.3700,0.5200,-0.0200,-0.1300,413197.0
PNP,2025-08-20 13:39:00,13:39:00,13:40:00,13:41:00,636.4200,636.6500,0.2300,0.2500,-0.1800,0.1600,417284.0
PPN,2025-08-20 13:42:00,13:42:00,13:43:00,13:44:00,636.6500,636.7400,0.0900,0.1100,0.0400,-0.0600,283157.0
PPP,2025-08-20 13:45:00,13:45:00,13:46:00,13:47:00,636.7400,637.0500,0.3100,0.0500,0.1200,0.1400,378239.0
PNN,2025-08-20 13:48:00,13:48:00,13:49:00,13:50:00,637.0500,637.1100,0.0600,0.2000,-0.0800,-0.0600,502797.0
PNO,2025-08-20 13:51:00,13:51:00,13:52:00,13:53:00,637.1100,637.1200,0.0100,0.2300,-0.2200,0.0000,373448.0
NNO,2025-08-20 13:54:00,13:54:00,13:55:00,13:56:00,637.1200,636.9000,-0.2200,-0.0500,-0.1700,0.0000,368099.0
NPN,2025-08-20 13:57:00,13:57:00,13:58:00,13:59:00,636.9000,636.6900,-0.2100,-0.1600,0.0500,-0.1000,305004.0
PPN,2025-08-20 14:00:00,14:00:00,14:01:00,14:02:00,636.6900,636.9400,0.2500,0.2600,0.0100,-0.0200,347316.0
PPP,2025-08-20 14:03:00,14:03:00,14:04:00,14:05:00,636.9400,637.2000,0.2600,0.1100,0.0400,0.1100,284894.0
PNP,2025-08-20 14:06:00,14:06:00,14:07:00,14:08:00,637.2000,637.4650,0.2650,0.1900,-0.0400,0.1150,380372.0
NPP,2025-08-20 14:09:00,14:09:00,14:10:00,14:11:00,637.4650,637.9900,0.5250,-0.0050,0.2300,0.3000,482436.0
PNP,2025-08-20 14:12:00,14:12:00,14:13:00,14:14:00,637.9900,638.1750,0.1850,0.2900,-0.1500,0.0450,624482.0
PNP,2025-08-20 14:15:00,14:15:00,14:16:00,14:17:00,638.1750,638.1700,-0.0050,0.0250,-0.0900,0.0600,564153.0
PNP,2025-08-20 14:18:00,14:18:00,14:19:00,14:20:00,638.1700,638.3200,0.1500,0.1800,-0.1150,0.0850,438835.0
PPP,2025-08-20 14:21:00,14:21:00,14:22:00,14:23:00,638.3200,638.7050,0.3850,0.0651,0.0049,0.3150,669057.0
PNN,2025-08-20 14:24:00,14:24:00,14:25:00,14:26:00,638.7050,638.2300,-0.4750,0.0850,-0.2600,-0.3000,837057.0
OPP,2025-08-20 14:27:00,14:27:00,14:28:00,14:29:00,638.2300,638.3150,0.0850,0.0000,0.0600,0.0250,660507.0
NPP,2025-08-20 14:30:00,14:30:00,14:31:00,14:32:00,638.3150,638.5700,0.2550,-0.0150,0.2600,0.0100,415140.0
PNP,2025-08-20 14:33:00,14:33:00,14:34:00,14:35:00,638.5700,638.7300,0.1600,0.1400,-0.0100,0.0300,456099.0
ONP,2025-08-20 14:36:00,14:36:00,14:37:00,14:38:00,638.7300,638.7050,-0.0250,0.0000,-0.0600,0.0350,543667.0
NPN,2025-08-20 14:39:00,14:39:00,14:40:00,14:41:00,638.7050,638.5000,-0.2050,-0.2150,0.0700,-0.0600,463969.0
POP,2025-08-20 14:42:00,14:42:00,14:43:00,14:44:00,638.5000,638.7800,0.2800,0.1300,0.0000,0.1500,583751.0
PNN,2025-08-20 14:45:00,14:45:00,14:46:00,14:47:00,638.7800,638.7000,-0.0800,0.0800,-0.1050,-0.0550,582974.0
PPN,2025-08-20 14:48:00,14:48:00,14:49:00,14:50:00,638.7000,638.5900,-0.1100,0.1600,0.0800,-0.3500,915300.0
NNP,2025-08-20 14:51:00,14:51:00,14:52:00,14:53:00,638.5900,638.6700,0.0800,-0.1100,-0.0800,0.2700,1249546.0
PNN,2025-08-20 14:54:00,14:54:00,14:55:00,14:56:00,638.6700,638.1700,-0.5000,0.1400,-0.3400,-0.3000,1567217.0
